time,roll,pitch,yaw,origin_x,origin_y,origin_z
0.68,-177.13865380823836,1.56766256303015,-2.857829807813285,-158.8898183,328.6611781,36.80006422
0.69,-177.27992773264972,1.6230892825310685,-2.8739329463270633,-158.9384729,328.6612752,36.80231501
0.7,-177.0521866341116,1.5586313515597074,-2.8585332860596426,-158.9451253,328.6673036,36.78116788
0.71,-177.06037580636254,1.6398377875191639,-2.876245115804557,-158.9323095,328.6481436,36.88038838
0.72,-177.11567782567167,1.6052843427072319,-2.878886207046701,-158.9135999,328.6710265,36.86290091
0.73,-177.08362315989137,1.585833233621026,-2.8489568391818243,-158.9018789,328.6547471,36.85933918
0.74,-177.1313541804638,1.5696528214750305,-2.8482017221716776,-158.8992985,328.6529656,36.79995926
0.75,-177.24258759250293,1.6136544648707758,-2.8882653117103416,-158.9371967,328.6644251,36.79988732
0.76,-177.16612214802652,1.6020187862728072,-2.884878390807815,-158.9407712,328.7160217,36.83540513
0.77,-177.1984401636445,1.6039364113896242,-2.8776427271548726,-158.926651,328.6900739,36.84631983
0.78,-177.2394467206325,1.589835488432495,-2.8649404141183425,-158.9320504,328.625597,36.81113744
0.79,-177.14103725928666,1.5696199331117329,-2.8588371047105414,-158.9356333,328.6596889,36.93422632
0.8,-177.1232876816441,1.6271244023007152,-2.868764112973777,-158.9081433,328.6425815,36.81490772
0.81,-177.23432761954808,1.610046820281158,-2.8689653968878392,-158.908339,328.6610434,36.86133663
0.82,-177.00402212626457,1.639228712270304,-2.888771796540409,-158.9161207,328.7269794,36.96028515
0.83,-177.14651914333362,1.5945334581237556,-2.861458137108893,-158.9473705,328.6375433,36.81028962
0.84,-177.17903059291945,1.6331712997319925,-2.888498198466593,-158.9353615,328.6872675,36.85327052
0.85,-177.20713486409898,1.6458416671146803,-2.8801567149092713,-158.9390962,328.6438421,36.7969442
0.86,-177.17766295518962,1.6332485251777114,-2.884759294368767,-158.94681,328.6770059,36.85890191
0.87,-177.23040363469536,1.5631617900363821,-2.8645140243921414,-158.8938196,328.662016,36.8120735
0.88,-177.12937978644047,1.6456771465201567,-2.897840980167151,-158.961659,328.6994017,36.918038
0.89,-177.2021054961371,1.6106890771837326,-2.8727934937012556,-158.9367942,328.6763184,36.87425196
0.9,-177.19293044697997,1.6100916995309116,-2.868918260907103,-158.9368637,328.599062,36.78789661
0.91,-177.26258427999025,1.6489778088804354,-2.8792024991060168,-158.9409042,328.7193036,36.98103504
